Quantity,Designators,Value,Device,Package,PARTNUMBER,DIGIKEY
2,"C1, C2",100μF,F93xxxxxxAx,CAPPM320X160X180L80X120,F930J107KAA,478-8152-1-ND
2,"C3, C4",10μF,F93xxxxxxAx,CAPPM320X160X180L80X120,F931C106MAA,478-8237-1-ND
2,"DS1, DS2",IN-12B,IN-12B,Reflektor / Sovtek IN-12,,
1,J1,Barrel Jack Center Pos,Barrel Jack DC-005,Barrel Jack DC-005,,
1,LED1,Pwr,OSRAM LY R976-PS-36,OSRAM CHIPLED 0805 Diffused,LY R976-PS-36,475-2560-1-ND
1,LED2,WiFi,OSRAM LG R971-KN-1,OSRAM CHIPLED 0805 Diffused,LG R971-KN-1,475-1410-1-ND
1,R1,270Ω,Resistor 2012 (0805),RESC2012 (0805),RC0805FR-07270RL,311-270CRCT-ND
1,R2,220Ω,Resistor 2012 (0805),RESC2012 (0805),RC0805FR-07220RL,311-220CRCT-ND
1,R3,0Ω,Resistor 2012 (0805),RESC2012 (0805),,
2,"R4, R5",15kΩ,Resistor 3216 (1206),RESC3216 (1206),RC1206FR-0715KL,311-15.0KFRCT-ND
1,S1,Salecom T8014A-UHBx,Salecom T8014A-UHBx,Salecom T8014A-UHBx,,
1,U1,NCH6100HV Power Supply,NCH6100HV,NCH6100HV,,
1,U2,Blue Pill,Blue Pill,Blue Pill,,
2,"U3, U4",K155ID1,K155ID1,DIP-16 7.62mm,,
1,U6,ESP-01,ESP-01,ESP-01,,
1,U7,TLV1117-33CDCYR LDO 3.3V,TLV1117DCY,SOT223-4P230_700X180L175X75T175X300,TLV1117-33CDCYR,296-21112-1-ND
1,U8,TLV1117-50CDCYR LDO 5V,TLV1117DCY,SOT223-4P230_700X180L175X75T175X300,TLV1117-50CDCYR,296-21114-1-ND
